Sector,Region,Year,Emissions_Mt
Organic Soil,Eastern Asia,1992,26.042180501482
Other Land,Eastern Asia,1992,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1992,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1992,698.78506685052
Forest Land,Eastern Europe and West-Central Asia,1992,-1950.1970126902
Organic Soil,Eastern Europe and West-Central Asia,1992,122.59424220563
Other Land,Eastern Europe and West-Central Asia,1992,29.381874433286
Deforestation,Europe,1992,1.0944800134732
Fires,Europe,1992,22.258747655651
Forest Land,Europe,1992,-685.1570882661
Organic Soil,Europe,1992,196.0480184378
Other Land,Europe,1992,64.207426837859
Deforestation,Latin America and Caribbean,1992,2978.1710473467
Fires,Latin America and Caribbean,1992,97.048565306937
Forest Land,Latin America and Caribbean,1992,-2593.7298972212
Organic Soil,Latin America and Caribbean,1992,11.079262188695
Other Land,Latin America and Caribbean,1992,9.2182228793267
Deforestation,Middle East,1992,0.0026134822240509
Fires,Middle East,1992,1.9795542721675
Forest Land,Middle East,1992,-5.8739670864819
Other Land,Middle East,1992,-1.1644663420868
Deforestation,North America,1992,71.820354831878
Fires,North America,1992,156.41480286125
Forest Land,North America,1992,-523.74433706438
Organic Soil,North America,1992,93.052596670965
Other Land,North America,1992,-122.40955806442
Deforestation,South-East Asia and Pacific,1992,1247.1652972032
Fires,South-East Asia and Pacific,1992,180.5369733214
Forest Land,South-East Asia and Pacific,1992,-116.7427238282
Organic Soil,South-East Asia and Pacific,1992,473.23690289789
Other Land,South-East Asia and Pacific,1992,215.49828453686
Deforestation,Southern Asia,1992,22.411324776583
Fires,Southern Asia,1992,9.209482397804
Forest Land,Southern Asia,1992,1033.5027780372
Organic Soil,Southern Asia,1992,26.616307833241
Other Land,Southern Asia,1992,-0.079827982839102
Deforestation,Africa,1993,1333.0114825679
Fires,Africa,1993,635.50713489201
Forest Land,Africa,1993,-2304.985858009
Organic Soil,Africa,1993,58.748877592806
Other Land,Africa,1993,-138.36258730431
Deforestation,"Australia, Japan, and New Zealand",1993,14.760327365378
Fires,"Australia, Japan, and New Zealand",1993,769.51569412345
Forest Land,"Australia, Japan, and New Zealand",1993,-509.85878720362
Organic Soil,"Australia, Japan, and New Zealand",1993,10.540139994243
Other Land,"Australia, Japan, and New Zealand",1993,-0.89114126536976
Deforestation,Eastern Asia,1993,1.4294734735821
Fires,Eastern Asia,1993,159.58931633916
Forest Land,Eastern Asia,1993,-658.88005890361
Organic Soil,Eastern Asia,1993,26.039907640788
Other Land,Eastern Asia,1993,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1993,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1993,540.34252934794
Forest Land,Eastern Europe and West-Central Asia,1993,-2027.0498656973
Organic Soil,Eastern Europe and West-Central Asia,1993,119.72452351309
Other Land,Eastern Europe and West-Central Asia,1993,44.756504293908
Deforestation,Europe,1993,1.0944800134732
Fires,Europe,1993,14.747702195772
Forest Land,Europe,1993,-698.76037344289
Organic Soil,Europe,1993,194.15402718325
Other Land,Europe,1993,53.082247455586
Deforestation,Latin America and Caribbean,1993,2978.1710473467
Fires,Latin America and Caribbean,1993,95.664339419389
Forest Land,Latin America and Caribbean,1993,-2571.2806870429
Organic Soil,Latin America and Caribbean,1993,11.816732348104
Other Land,Latin America and Caribbean,1993,2.2243565771972
Deforestation,Middle East,1993,0.0026134822240509
Fires,Middle East,1993,2.6060010446269
Forest Land,Middle East,1993,-5.1794738462828
Other Land,Middle East,1993,-1.1644663420868
Deforestation,North America,1993,71.820354831878
Fires,North America,1993,180.36089778223
Forest Land,North America,1993,-510.19046813317
Organic Soil,North America,1993,93.161670291121
Other Land,North America,1993,-97.46220940463
Deforestation,South-East Asia and Pacific,1993,1247.1652972032
Fires,South-East Asia and Pacific,1993,167.05768777655
Forest Land,South-East Asia and Pacific,1993,-144.59138959921
Organic Soil,South-East Asia and Pacific,1993,473.21370753648
Other Land,South-East Asia and Pacific,1993,215.96525833646
Deforestation,Southern Asia,1993,22.411324776583
Fires,Southern Asia,1993,9.258446583534
Forest Land,Southern Asia,1993,1046.3359460879
Organic Soil,Southern Asia,1993,26.614427086413
Other Land,Southern Asia,1993,-0.079827982839102
Deforestation,Africa,1994,1333.0114825679
Fires,Africa,1994,553.63474794254
Forest Land,Africa,1994,-2240.5852984993
Organic Soil,Africa,1994,58.745359689728
Other Land,Africa,1994,-138.58384045776
Deforestation,"Australia, Japan, and New Zealand",1994,14.760327365378
Fires,"Australia, Japan, and New Zealand",1994,405.88979128591
Forest Land,"Australia, Japan, and New Zealand",1994,-508.11291025899
Organic Soil,"Australia, Japan, and New Zealand",1994,10.771441789583
Other Land,"Australia, Japan, and New Zealand",1994,2.1040196384159
Deforestation,Eastern Asia,1994,1.4294734735821
Fires,Eastern Asia,1994,135.13142328112
Forest Land,Eastern Asia,1994,-665.3786461243
Organic Soil,Eastern Asia,1994,26.038787458216
Other Land,Eastern Asia,1994,-179.37172427869
Deforestation,Eastern Europe and West-Central Asia,1994,0.11649163448193
Fires,Eastern Europe and West-Central Asia,1994,863.7485055681
Forest Land,Eastern Europe and West-Central Asia,1994,-2174.8502221747
Organic Soil,Eastern Europe and West-Central Asia,1994,118.56971010361
Other Land,Eastern Europe and West-Central Asia,1994,37.286169108359
Deforestation,Europe,1994,1.0944800134732
Fires,Europe,1994,35.742966446688
Forest Land,Europe,1994,-649.45890502091
Organic Soil,Europe,1994,194.72516770522
Other Land,Europe,1994,39.466890314751
Deforestation,Latin America and Caribbean,1994,2978.1710473467
Fires,Latin America and Caribbean,1994,149.71259615448
Forest Land,Latin America and Caribbean,1994,-2526.15117233
Organic Soil,Latin America and Caribbean,1994,11.808732242087
Other Land,Latin America and Caribbean,1994,0.79324502754357
Deforestation,Middle East,1994,0.0026134822240509
Fires,Middle East,1994,5.5048071357935
Forest Land,Middle East,1994,-5.0608309932608
Other Land,Middle East,1994,-1.1644663420868
Deforestation,North America,1994,71.820354831878
Fires,North America,1994,320.74531574017
Forest Land,North America,1994,-485.20753350557
Organic Soil,North America,1994,93.221475027951
Other Land,North America,1994,-124.98981334392
